Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_FreeAcc_X_rms,HE,FreeAcc,X_rms,0.980315,0.547588,0.000000,3.342075,0.809479,1.532730,0.666648,1.354673,29,0.861223,0.466301,0.743830,612,1.502003,0.545159,1.376614,109
HE_FreeAcc_X_dom_freq,HE,FreeAcc,X_dom_freq,1.829778,1.080324,0.333333,6.000000,1.666667,1.114943,0.931273,0.666667,29,2.061547,1.039337,2.000000,612,0.718654,0.265174,0.666667,109
HE_FreeAcc_X_spec_centroid,HE,FreeAcc,X_spec_centroid,5.884284,1.759153,0.000000,11.635492,5.704377,6.209187,1.872146,6.209284,29,5.912603,1.752478,5.733183,612,5.638841,1.756264,5.181761,109
HE_FreeAcc_X_spec_power,HE,FreeAcc,X_spec_power,247.498001,273.862509,0.000000,2619.104688,153.040196,545.743459,382.751854,467.703613,29,186.790974,205.051625,129.015785,612,508.998756,361.255853,466.055709,109
HE_FreeAcc_Y_mean,HE,FreeAcc,Y_mean,-0.015388,0.778551,-2.736220,4.553410,-0.056349,0.012095,1.412081,-0.024762,29,0.026619,0.750047,-0.016713,612,-0.258558,0.658920,-0.176989,109
HE_FreeAcc_Y_std,HE,FreeAcc,Y_std,0.998780,0.410176,0.000000,2.755086,0.939927,0.914739,0.259123,0.846144,29,1.050076,0.419085,1.005035,612,0.733124,0.260273,0.682119,109
HE_FreeAcc_Y_rms,HE,FreeAcc,Y_rms,1.203880,0.567674,0.000000,4.790579,1.105126,1.328276,1.049082,0.962146,29,1.244096,0.541359,1.162810,612,0.944984,0.458884,0.797983,109
HE_FreeAcc_Y_dom_freq,HE,FreeAcc,Y_dom_freq,1.036000,0.794045,0.333333,6.333333,0.666667,1.712644,1.249521,1.333333,29,0.837691,0.408781,0.666667,612,1.969419,1.340675,1.666667,109
HE_FreeAcc_Y_spec_centroid,HE,FreeAcc,Y_spec_centroid,5.576616,1.913945,0.000000,10.460056,5.477554,6.438927,1.592324,6.039417,29,5.344806,1.906485,5.215147,612,6.648734,1.587571,6.271020,109
HE_FreeAcc_Y_spec_power,HE,FreeAcc,Y_spec_power,352.019022,306.675809,0.000000,2292.409885,266.814151,272.286482,160.603642,216.229522,29,385.972661,321.694692,305.061604,612,182.593485,151.280681,140.522612,109
HE_FreeAcc_Z_mean,HE,FreeAcc,Z_mean,-1.232144,2.152414,-8.585096,8.013817,-1.214890,-0.810857,2.295917,-0.442322,29,-1.260747,2.184490,-1.306925,612,-1.183633,1.926528,-0.768978,109
HE_FreeAcc_Z_std,HE,FreeAcc,Z_std,0.976475,0.487029,0.000000,3.540635,0.850305,1.014013,0.410520,0.792994,29,0.969296,0.493295,0.845052,612,1.006798,0.472274,0.877448,109
HE_FreeAcc_Z_rms,HE,FreeAcc,Z_rms,2.288538,1.449368,0.000000,8.630797,1.892063,2.123144,1.586489,1.367172,29,2.329660,1.453374,1.973651,612,2.101657,1.383358,1.582528,109
